Tên cây,Loại bệnh,Nguyên nhân,Triệu chứng,Cách điều trị
Cây táo,"Bệnh vảy táo, ghẻ táo","Do nấm Venturia inaequalis gây ra, thường phát sinh vào đầu mùa hoặc giữa mùa xuân.","Xuất hiện những vết bệnh trên lá. Ban đầu, vết bệnh có màu xanh đậm hơn màu của lá, về sau chuyển sang màu dầu oliu. Khi nặng hơn thì sẽ có màu đen, khiến lá bị rụng nhiều khi thời tiết chuyển sang mùa hè, nắng nóng. Trên quả sẽ xuất hiện những vết sần sùi, mất vệ sinh và mất thẩm mỹ.","Chọn mua cây giống ở vườn ươm uy tín, đảm bảo cây có sức đề kháng tốt.
Trồng trên luống cao thay vì trồng trực tiếp dưới mặt đất bằng phẳng.
Khoảng cách giữa các cây trồng hợp lý, không quá gần nhau.
Cải thiện hệ thống thoát nước của đất trồng, đảm bảo nước không bị đọng gây ngập úng, thối rễ và tạo điều kiện để vi khuẩn, nấm sinh sôi.
Thường xuyên dọn cỏ, dọn lá rụng trong vườn, nhất là vào thời điểm mùa thu và mùa đông.
Loại bỏ ngay những cành, lá hay bất kỳ bộ phận nào bị nhiễm bệnh để tránh sự lây lan (cực kỳ quan trọng trong thời kỳ táo ra quả và quả chuẩn bị chín).
Chủ động phun thuốc phòng ngừa sâu bệnh, đặc biệt là thuốc diệt nấm.
Nâng cao hiệu quả phòng trừ bằng máy bay phun thuốc không người lái: tối ưu hóa sức lao động, tiết kiệm thời gian và chi phí, phun xịt đồng đều các hạt thuốc kích thước siêu nhỏ, thẩm thấu nhanh và đều, tiết kiệm nước và thuốc trừ sâu."
Cây táo,Bệnh phấn trắng,"Do nấm gây ra, bùng phát trong điều kiện độ ẩm cao (trên 85%) và nhiệt độ thấp (dưới 20 độ C).","Xuất hiện bột màu trắng phủ lên trên lá, đặc biệt là lá non.","Chọn mua cây giống ở vườn ươm uy tín, đảm bảo cây có sức đề kháng tốt.
Trồng trên luống cao thay vì trồng trực tiếp dưới mặt đất bằng phẳng.
Khoảng cách giữa các cây trồng hợp lý, không quá gần nhau.
Cải thiện hệ thống thoát nước của đất trồng, đảm bảo nước không bị đọng gây ngập úng, thối rễ và tạo điều kiện để vi khuẩn, nấm sinh sôi.
Thường xuyên dọn cỏ, dọn lá rụng trong vườn, nhất là vào thời điểm mùa thu và mùa đông.
Loại bỏ ngay những cành, lá hay bất kỳ bộ phận nào bị nhiễm bệnh để tránh sự lây lan (cực kỳ quan trọng trong thời kỳ táo ra quả và quả chuẩn bị chín).
Chủ động phun thuốc phòng ngừa sâu bệnh, đặc biệt là thuốc diệt nấm.
Nâng cao hiệu quả phòng trừ bằng máy bay phun thuốc không người lái: tối ưu hóa sức lao động, tiết kiệm thời gian và chi phí, phun xịt đồng đều các hạt thuốc kích thước siêu nhỏ, thẩm thấu nhanh và đều, tiết kiệm nước và thuốc trừ sâu."
Cây táo,Bệnh gỉ sắt tuyết tùng,"Do nấm Gymnosporangium clavipes gây hại, thường xảy ra vào mùa xuân.","Trên đốm lá xuất hiện vết bệnh như vết gỉ sắt. Quả táo bị biến dạng, méo mó và có những đốm bệnh ngoài vỏ. Bệnh này có mức độ lây lan nhanh.","Chọn mua cây giống ở vườn ươm uy tín, đảm bảo cây có sức đề kháng tốt.
Trồng trên luống cao thay vì trồng trực tiếp dưới mặt đất bằng phẳng.
Khoảng cách giữa các cây trồng hợp lý, không quá gần nhau.
Cải thiện hệ thống thoát nước của đất trồng, đảm bảo nước không bị đọng gây ngập úng, thối rễ và tạo điều kiện để vi khuẩn, nấm sinh sôi.
Thường xuyên dọn cỏ, dọn lá rụng trong vườn, nhất là vào thời điểm mùa thu và mùa đông.
Loại bỏ ngay những cành, lá hay bất kỳ bộ phận nào bị nhiễm bệnh để tránh sự lây lan (cực kỳ quan trọng trong thời kỳ táo ra quả và quả chuẩn bị chín).
Chủ động phun thuốc phòng ngừa sâu bệnh, đặc biệt là thuốc diệt nấm.
Nâng cao hiệu quả phòng trừ bằng máy bay phun thuốc không người lái: tối ưu hóa sức lao động, tiết kiệm thời gian và chi phí, phun xịt đồng đều các hạt thuốc kích thước siêu nhỏ, thẩm thấu nhanh và đều, tiết kiệm nước và thuốc trừ sâu."
Cây táo,Bệnh thối rễ và thối ngọn,"Xảy ra khi đất trồng hoặc nước bị ô nhiễm, tạo điều kiện cho nấm Phytophthora xâm nhập, phát triển và gây bệnh.","Rễ và ngọn cây táo bị thối nhũn, cây trở nên yếu ớt, còi cọc và chậm lớn. Khi dùng dao cắt phần rễ hoặc ngọn bị thối thì thấy bên trong có màu cam hoặc nâu, thay vì màu xanh lá đặc trưng.","Chọn mua cây giống ở vườn ươm uy tín, đảm bảo cây có sức đề kháng tốt.
Trồng trên luống cao thay vì trồng trực tiếp dưới mặt đất bằng phẳng.
Khoảng cách giữa các cây trồng hợp lý, không quá gần nhau.
Cải thiện hệ thống thoát nước của đất trồng, đảm bảo nước không bị đọng gây ngập úng, thối rễ và tạo điều kiện để vi khuẩn, nấm sinh sôi.
Thường xuyên dọn cỏ, dọn lá rụng trong vườn, nhất là vào thời điểm mùa thu và mùa đông.
Loại bỏ ngay những cành, lá hay bất kỳ bộ phận nào bị nhiễm bệnh để tránh sự lây lan (cực kỳ quan trọng trong thời kỳ táo ra quả và quả chuẩn bị chín).
Chủ động phun thuốc phòng ngừa sâu bệnh, đặc biệt là thuốc diệt nấm.
Nâng cao hiệu quả phòng trừ bằng máy bay phun thuốc không người lái: tối ưu hóa sức lao động, tiết kiệm thời gian và chi phí, phun xịt đồng đều các hạt thuốc kích thước siêu nhỏ, thẩm thấu nhanh và đều, tiết kiệm nước và thuốc trừ sâu."
Cây táo,Bệnh thối quả,"Do vi khuẩn Erwinia gây nên, thường gặp trên những quả sắp chín và chuẩn bị thu hoạch.","Những quả táo sắp chín bị thối từ từ, ban đầu là vết thối nhỏ, quả hơi méo mó và nhăn nheo, nhưng sau 1 tuần có thể bị thối cả quả và rụng nhanh chóng.","Chọn mua cây giống ở vườn ươm uy tín, đảm bảo cây có sức đề kháng tốt.
Trồng trên luống cao thay vì trồng trực tiếp dưới mặt đất bằng phẳng.
Khoảng cách giữa các cây trồng hợp lý, không quá gần nhau.
Cải thiện hệ thống thoát nước của đất trồng, đảm bảo nước không bị đọng gây ngập úng, thối rễ và tạo điều kiện để vi khuẩn, nấm sinh sôi.
Thường xuyên dọn cỏ, dọn lá rụng trong vườn, nhất là vào thời điểm mùa thu và mùa đông.
Loại bỏ ngay những cành, lá hay bất kỳ bộ phận nào bị nhiễm bệnh để tránh sự lây lan (cực kỳ quan trọng trong thời kỳ táo ra quả và quả chuẩn bị chín).
Chủ động phun thuốc phòng ngừa sâu bệnh, đặc biệt là thuốc diệt nấm.
Nâng cao hiệu quả phòng trừ bằng máy bay phun thuốc không người lái: tối ưu hóa sức lao động, tiết kiệm thời gian và chi phí, phun xịt đồng đều các hạt thuốc kích thước siêu nhỏ, thẩm thấu nhanh và đều, tiết kiệm nước và thuốc trừ sâu."
Cây bơ,Sâu ăn lá - sâu cuốn lá,"Ấu trùng của các loài bướm như Anacamptodes sp, Epimeces detexta, Seirarctia echo.","Gây hại mạnh mẽ ở giai đoạn ấu trùng, ăn lá; sau khi trưởng thành biến thành nhộng treo trên cành lá hoặc dùng lá làm tổ (sâu cuốn lá); bướm đẻ trứng trên lá non, vỏ cây.","Sử dụng các loại thuốc trừ sâu có đặc tính thấm sâu, độc mạnh, tác dụng lâu để phun phòng trừ 1-2 tháng/lần (đặc biệt giai đoạn đầu mùa mưa). Có thể pha chung với phân bón lá. Chọn ngày mát trời, lặng gió, phun ướt đều 2 mặt lá hoặc thân cành để tiêu diệt trứng, ấu trùng. Nâng cao hiệu quả bằng máy bay phun thuốc không người lái."
Cây bơ,"Sâu đục thân, sâu đục cành",Ấu trùng của một số loài bướm hoặc bọ cánh cứng (ví dụ: xén tóc).,"Đục lỗ nhỏ trên thân cây, ăn mô sống bên trong, tạo 'đường hầm' phá hủy hệ thống mạch dẫn. Cản trở truyền chất dinh dưỡng, nước, làm cây khô héo, rụng lá rồi chết. Có thể dẫn đến gãy cành, gãy ngang thân. Vết đục thường kèm hiện tượng xì mủ và mạt gỗ đùn ra ngoài.","Thường xuyên thăm vườn để phát hiện sớm. Sử dụng móc sắt bắt sâu hoặc dùng tăm bông tẩm thuốc sâu nhét vào lỗ đục. Dọn vườn thông thoáng, phun thuốc vào gốc, thân cành để xua đuổi con trưởng thành đẻ trứng và tiêu diệt trứng sâu. Nâng cao hiệu quả bằng máy bay phun thuốc không người lái."
Cây bơ,Bọ xít muỗi và các loài chích hút đọt non,Bọ xít muỗi và các loài chích hút khác. Sinh sôi mạnh vào đầu mùa mưa và các giai đoạn cây phát triển chồi non.,"Chích hút nhựa trên chồi non. Vị trí bị chích hút thường chuyển sang thâm đen, khô héo rồi chết hẳn. Làm cây giảm sức sinh trưởng, chồi non không phát triển, giảm năng suất do không hình thành được nụ hoa.","Sử dụng các loại thuốc trừ sâu có đặc tính thấm sâu, độc mạnh, tác dụng lâu để phun phòng trừ 1-2 tháng/lần. Nâng cao hiệu quả bằng máy bay phun thuốc không người lái."
Cây bơ,Bọ cánh cứng ăn lá,Bọ cánh cứng.,"Ăn trụi lá, đôi khi ăn cả chồi. Gây giảm sức sinh trưởng, suy kiệt do cây không có lá để quang hợp (đặc biệt cây 1-2 năm tuổi). Gây hại vào buổi tối, ban ngày ẩn nấp dưới đất hoặc vị trí kín đáo.","Sử dụng các loại thuốc trừ sâu có đặc tính thấm sâu, độc mạnh, tác dụng lâu để phun phòng trừ 1-2 tháng/lần. Nâng cao hiệu quả bằng máy bay phun thuốc không người lái."
Cây bơ,"Các loài rệp muội, rệp sáp","Rệp muội, rệp sáp. Gây hại vào mùa khô, ẩn nấp tại kẽ lá, cành, gốc rễ.","Chích hút nhựa cây làm bộ phận tương ứng cạn kiệt dinh dưỡng rồi chết. Rệp sáp còn tấn công rễ, khó tiêu diệt. Trường hợp nặng có thể làm cây chết do rễ ngừng phát triển hoặc bị nấm rễ tấn công qua vết chích hút.","Sử dụng các loại thuốc trừ sâu có đặc tính thấm sâu, độc mạnh, tác dụng lâu để phun phòng trừ 1-2 tháng/lần. Nâng cao hiệu quả bằng máy bay phun thuốc không người lái."
